recall_number,classification,reason_for_recall,product_description,report_date
D-1030-2022,Class II,cGMP deviations: Temperature abuse,"Spinal Tray (A4058-25 Spinal Tray 25G Whitacre No Epinephrine), Rx only, Manufacturer: Smiths Medical ASD, Inc., NJ",20220615
D-924-2014,Class II,"Labeling: Label Mixup: LEVOTHYROXINE SODIUM, Tablet, 137 mcg may have potentially been mislabeled as the following drug:  ISONIAZID, Tablet, 300 mg, NDC 00555007102, Pedigree: AD60272_70, EXP: 5/22/2014.","LEVOTHYROXINE SODIUM, Tablet, 137 mcg, Rx only, Distributed by: AidaPak Service, LLC, NDC 00527163801.",20140129
D-0151-2022,Class II,Lack of assurance of sterility,"TEST CYPIONATE 200MG/ANASTROZOLE 0.5MG/DUTASTERIDE 0.5MG/ML IN OIL  INJECTABLE, Rx only, Talon Compounding Pharmacy, 2950 Thousand Oaks Drive Ste 25, San Antonio, Texas 78247",20211117
D-0078-2020,Class II,Lack of Assurance of Sterility,"NEOstigmine Methylsulfate (PF), 5 mg/5 mL (1 mg/mL), 5 mL fill in a 6 mL Single Dose Syringe, Rx Only, KRS Global Biotechnology 791 Park of Commerce Blvd, Boca Raton, FL 33487. NDC 3321678303",20191009
D-242-2013,Class II,Subpotent Drug: Out Of Specification results for assay at the stability time-point of 24 months.,"Ethambutol Hydrochloride Tablets, USP, 100 mg, 100-count tablets per bottle, Rx only, Mfd. for: Versapharm Incorporated, Marietta, GA;  Mfd. by: West-Ward Pharmaceutical Corp., Eatontown, NJ 07724; NDC 61748-011-01.",20130410
D-0792-2016,Class II,Lack of Assurance of Sterility,"Vancomycin 25mg/mL Solution, 10 mL bottles, Rx only, Walter's Pharmacy 401 N 17th St., Allentown, PA 610-435-4706, NDC 99999-9003-78",20160406
D-0111-2016,Class II,Lack of Assurance of Sterility; all sterile human compounded drugs within expiry,"PAPAVERINE/PHENTOLAMINE, Injectable Solution, 30MG/1MG/ML, 10 mL syringe,  Rx only, JD & SN Inc, DBA Moses Lake Professional Pharmacy, 1555 S. Pilgrim St. Moses Lake WA  98837, (509)764-2314",20151104
D-1814-2019,Class II,Lack of Assurance of Sterility,"TOPOTECAN 1.24 MG / 100 ML NS IVPB, Rx Only, Infusion Options, Inc. 5924 13the Ave, Brooklyn, NY 11219-4934, 718-283-7233",20190821
D-0702-2018,Class II,"Lack of Assurance of Sterility:Microbial contamination was detected during routine testing of subsequent unreleased product lots due to interaction between the product syringe and tamper evident container closure, which may result in the potential introduction of microorganisms into the products.","NEOstigmine Methylsulfate (1 mg/mL) 3mg per 3mL. 3mL Single Dose Syringe. Premier Pharmacy Labs. 8265 Commercial Way  Weeki Wachee, FL 34613 NDC 69623-234-14.",20180502
D-0985-2017,Class II,Lack of Assurance of Sterility; media fill failure at manufacturer,"Succinylcholine Chloride Injection (Preserved) 20 mg per mL, 200 mg per 10 mL, 10 mL Total Volume in BD Syringe, For IV Use, PharMedium Services, LLC, Cleveland, MS --- NDC 61553-364-65",20170726
D-0094-2015,Class II,"Lack of Assurance of Sterility: Martin Avenue Pharmacy, Inc. is conducting a voluntary recall of all compounded sterile preparations within expiry. The recall is being initiated in connection with a recent FDA inspection due to observations associated with certain quality control procedures that present a risk to sterility assurance.","Hydroxyzine hydrochloride 25 mg/mL injectable packaged in an amber glass injectable vial, Martin Avenue Pharmacy, 1247 Rickert Dr, Naperville, IL.",20141105
D-1455-2014,Class II,Lack of Assurance of Sterility; All lots of sterile products compounded by the pharmacy within expiry are subject to this recall. This recall is initiated due to concerns associated with quality control procedures observed during a recent FDA inspection.,"Pfizerpen (penicillin G) 24 MU/300 mL 0.9%NS, Trinity Care Solutions, 202-C SW 17th Street, Ocala, FL 34471-5138, For Parenteral Use Only, Rx # 29183, Discard After 05/21/14",20140730
D-0914-2018,Class II,Failed Stability Specifications,"RANITIDINE Tablets, USP 150 mg UD 100 tablets (10x10), RX Only, Manufactured by: Amneal Pharmaceuticals, Hauppauge, NY 11788, NDC 63739-489-10",20180314
D-0479-2017,Class II,Failed Impurities/Degradation Specifications: out of  specification test results for the norethindrone impurity.,"Mimvey Lo (estradiol and norethindrone acetate tablets USP), 0.5 mg/0.1 mg, 28 tablets per blister card (NDC 0093-5454-18), packaged in 3 blister cards per carton (NDC 0093-5454-62), Rx only, Manufactured By: Barr Laboratories, Inc., Pomona, NY 10970; Manufactured For: Teva Pharmaceuticals USA, Sellersville, PA  18960.",20170222
D-678-2014,Class II,"Labeling:Label Mixup; METOPROLOL TARTRATE, Tablet, 12.5 mg (1/2 of 25 mg) may be potentially mislabeled as    PIOGLITAZONE, Tablet, 15 mg, NDC 00591320530, Pedigree: AD22845_1, EXP: 4/30/2014;  LEVOTHYROXINE SODIUM, Tablet, 12.5 mcg (1/2 of 25 mcg), NDC 00527134101, Pedigree: AD73525_49, EXP: 5/30/2014.","METOPROLOL TARTRATE Tablet, 12.5 mg (1/2 of 25 mg), Rx only, Distributed by: AidaPak Service, LLC, NDC 63304057901",20140122
D-0859-2021,Class II,Out-of-specification test results obtained for identification testing based on HPTLC analysis.,"Occular Allergy Blend 87% Alcohol; In Equal Parts of Apis Mellifica 7x Allium Cepa 7x Euphrasia Officinalis 7X Sabadilla 7X, WHP Homeopathic Medicine For Manufacturing Only, 500 ml. Manufcatured by Washington Homeopathic Products 260JR Hawvermale Way, Berkeley Springs WV 25411",20211006
D-842-2013,Class II,"Labeling -label error on declared strength: unopened, sealed bottle of Terazosin Hydrochloride (HCl) 10mg Capsules contained Terazosin HCl 5 mg Capsules","Terazosin Hydrochloride Capsules,10 mg, 100-count bottle, Rx only, Manufactured for Teva Pharmaceuticals USA, Sellersville, PA 18960, NDC 0093-4339-01",20130814
D-1130-2018,Class II,CGMP Deviations: Carcinogen impurity detected in API used to manufacture drug product.,"Valsartan Tablets, USP 40 mg Rx Only NDC 50268-783-15 50 Tablets (5x10) Unit Dose Manufactured for: AvKARE, Inc. Pulaski, TN 38478",20180905
D-322-2013,Class I,"Non-Sterility: Green Valley Drugs received positive sterility results from their testing lab on two lots of Methylprednisolone Preservative Free 40 mg/mL injectable suspension and  one lot of Cyanocobalamin 1000 mcg/mL injection, 30 mL MDV.","Cyanocobalamin 1000 mcg/ml, injection 30 mL, MDV, For Office Use Only, Green Valley Drugs,       Manufactured by Green Valley Drugs, Henderson, NV.",20130522
D-0446-2016,Class II,Lack of Assurance of Sterility,"Pyridoxine B6 100mg Inj, Rx, Western Drug Inc. 106 E. Main Street, Springerville, Arizona 85938",20151209
D-0280-2022,Class I,Superpotent Drug,"Lidocaine Hydrochloride Topical Solution USP 4% (40 mg/mL), 50 mL glass bottles, Rx Only, Teligent Pharma Inc., Buena, NJ 08310,  NDC 52565-009-50",20211222
D-1086-2015,Class II,Defective Delivery System: One lot exceeded the mechanical peel specification,"Daytrana (methylphenidate transdermal system), Delivers 30 mg over 9 hours (3.3mg/hr), CII, 30 patches per box, Manufactured for Noven Therapeutics LLC, Miami, FL 33186, by Noven Pharmaceuticals Inc., Miami, FL 33186, NDC # 68968-5555-3",20150603
D-0562-2017,Class II,Lack of Assurance of Sterility: There are also CGMP Deviations.,"LP CREAM (Lidocaine 15%/Prilocaine 5%), Rx only, Synergy RX, 4901 Morena Blvd # 504-A San Diego, CA 92117 (855) 792-6676",20170322
D-0599-2017,Class II,Lack of Assurance of Sterility: There are also CGMP Deviations.,"CUSTOM LIGHTENING/BRIGHTENING CREAM, Rx only, Synergy RX, 4901 Morena Blvd # 504-A San Diego, CA 92117 (855) 792-6676",20170322
D-529-2013,Class II,CGMP Deviations: Products are underdosed or have an incorrect dosage regime.,"Poly Hist Forte, Nasal Decongestant, Antihistamine,  100 count bottle, OTC, Manufactured for: Poly Pharmaceuticals, Quitman, MS 39355 NDC 50991-210-01",20130612
D-1154-2019,Class II,Lack of sterility assurance.,"HCG 4,100 Units/vial Injection, Anderson Compounding Pharmacy 310 Bluff City Hwy, Bristol, TN.",20190424
D-1299-2020,Class I,Superpotent Drug.,"NP Thyroid 60, Thyroid Tablets, USP, 1 grain (60 mg), 100-count bottles, Rx Only, Manufactured For: Acella Pharmaceuticals, LLC, Alpharetta, GA  30005, NDC 42192-330-01.",20200610
D-0833-2017,Class II,Labeling: Not Elsewhere Classified: Products may contain synthetic latex and/or natural latex.,"Nitroglycerin all strengths, all dosage forms and all packaging, Rx  Only, Avella of Houston, Houston, TX 77054",20170531
D-1237-2015,Class II,Failed Impurities/Degradation Specifications: Two lots failed specification for unknown impurity at the 24 month stability testing.,"Nitroglycerin Transdermal System 0.4 mg/hr (18 cm2), For Transdermal Use Only, 30 Systems (patches) per box, Rx Only,  Manufactured for: Kremers Urban Pharmaceuticals Inc., Princeton, NJ, 08540, USA, By LTS Lohmann Therapie Systeme AG, Anderach, Federal Republic of Germany, NDC 62175-124-01",20150722
D-0270-2017,Class II,Lack of Assurance of Sterility,"Lipotropic (L-Carnitine 170 mg + Methylcobalamin 300 mcg + Thiamine HCL 20 mg + Riboflavin-5-phosphate Sod 2 mg + Niacinamide 20 mg + Pyridoxine HCL 2 mg + Folic Acid 1 mg/Lidocaine HCL 10 mg/ml), (30 ML).  Compounded by Tri-Coast Pharmacy",20170111
D-1500-2020,Class II,cGMP Deviations.,"Ear Itch MD Anti-Itch Spray (pramoxine HCL 1%) 0.5 FL OZ (15 mL) bottles, Eosera, Inc. 5000 South Freeway Fort Worth, TX 76115, NDC 72429-0071-5, UPC 851722007125",20200819
D-0029-2025,Class II,Superpotent Drug: Stability failure for assay at 6 months test time-point.,"Chlorpheniramine Maleate 4 mg tablets, 24-count bottle, Manufactured For: Athlete's Needs, Novi, MI 48377, NDC 53185-277-24",20241106
D-1368-2014,Class I,Marketed without an Approved NDA/ANDA; product was found to contain undeclared sibutramine & phenolphthalein,"Bella Vi eXtreme ACCELERATOR Dietary Supplement Capsules, 30 count bottles, www.BellaViProducts.com, distributed by Pure Edge Nutrition, LLC, Toms River, NJ",20140618
D-0100-2016,Class II,Lack of Assurance of Sterility; all sterile human compounded drugs within expiry,"HYDROXYPROGESTERONE CAPROATE OIL, injectable Solution, 250 mg/mL, syringe sizes: 4 mL; 5 mL; 6 mL; 10 mL; 16 mL; 18 mL; 20 mL; and 22 mL, Rx only, JD & SN Inc, DBA Moses Lake Professional Pharmacy, 1555 S. Pilgrim St. Moses Lake WA  98837, (509)764-2314",20151104
D-0345-2023,Class II,Subpotent Drug,"TIROSINT - SOL (levothyroxine sodium) Oral Solution, 200 microgram/mL; 6 pouches x 5 ampules, Rx Only; Manufactured for IBSA Pharma Inc. by: IBSA Institut Biochimique SA, 6912 Pazzallo, Switzerland; Distributed by: IBSA Pharma Inc., Parsippany, NJ 07054; NDC 71858-0160-5",20230301
D-0843-2021,Class II,cGMP Deviations,"Neutrogena Invisible Daily defense body spray sunscreen BROAD SPECTRUM SPF 60+, Avobenzone (3%), Homosalate (10%), Octisalate (5%), Octocrylene (10%), NET WT. 5.0 OZ. (141 g) aerosol can, Distributed by: JOHNSON & JOHNSON CONSUMER, INC. Skillman, NJ 08858, UPC 0 86800 11154 2",20211006
D-1321-2019,Class I,Marketed without an Approved NDA/ANDA: The Beast contains undeclared sildenafil which was discovered through FDA analysis.,"The Beast, The Beast can be taken under the situation of Heart disease and even after drinking, 4600 mg X 4 Capsules per packet.",20190605
D-442-2013,Class II,"cGMP deviations; After quality review of stability failures in previous lots, there is insufficient data to determine that other lots are not affected.","Lloyd Thyro-Tab 0.150 mg., packaged in 150,000-tablet bulk drums (2/75,000-tablet bags/drum) for repackaging, RX.  The firm name on the label is Lloyd Pharmaceutical, Shenandoah, IA.",20130529
D-380-2014,Class I,Presence of particulate matter: visible free floating and partially embedded particulate matter in the glass vials.,"0.25% Bupivacaine HCl Injection, USP, 2.5 mg/mL, 30 mL, Single-dose, Hospira Inc., Lake Forest, IL 60045, NDC 0409-1159-02",20131225
D-0477-2017,Class III,Labeling: Incorrect or missing package insert:  the affected product was packaged with an out-of-date package insert (PI) dated February 2014.,"Taclonex (calcipotriene and betamethasone dipropionate)  Topical Suspension, 0.005%/0.064%, packaged in (a) 60 g (NDC 50222-501-06), and  (b)120 g (50222-501-66)  tubes,  Rx Only, Manufactured by: LEO Laboratories Ltd., 285 Cashel Road, Dublin 12 Ireland, Distributed by: LEO Pharma Inc. 1 Sylvan Way, Parsippany, NJ 07054.",20170222
D-0607-2022,Class II,CGMP Deviations: Products were manufactured with contaminated excipient that was recalled from the excipient supplier.,"Severe Congestion Nasal Spray, No Drip Plus Menthol, Oxymetazoline HCl 0.05%, 1 FL Oz (30 mL) per bottle,  DISTRIBUTED BY FOODHOLD U.S.A., LLC, LANDOVER, MD 20785. NDC 41520-108-10",20220302
D-0565-2022,Class II,cGMP Deviations,"Alprazolam Tablets, USP 0.5 mg, packaged in a) 100-count bottles (NDC 67253-901-10), b) 500-count bottles (NDC 67253-901-50), and c) 1000-count bottles (NDC 67253-901-11), Rx only, Distributed by: Par Pharmaceutical Chestnut Ridge, NY 10977",20220223
D-1317-2022,Class II,CGMP Deviations: products were stored outside the drug label specifications.,"Systane Zaditor, ketotifen fumarate ophthalmic solution 0.035%, Antihistamine eye drops, Eye Itch Relief, up to 12 Hours, Sterile, 30 day supply, 5mL (0.17 FL OZ) bottle per box, Alcon, NDC 0065-4011-05.",20220817
D-1732-2015,Class II,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,"Hydromorphone 80 mg/ml + Fentanyl 15,000 mcg/ml + Bupivacaine 30 mg/ml + Baclofen 750 mcg/ml Intrathecal Solution, The Compounding Pharmacy of America, Knoxville, TN",20150923
D-0833-2016,Class III,Failed Content Uniformity Specifications,"Zemplar (paricalcitol) capsules, 1 mcg, 30-count bottle, Rx Only, Mfd for AbbVie Inc. North Chicago, IL 60064, NDC 0074-4317-30.",20160427
D-0980-2018,Class III,"Failed Impurities/Degradation Specifications: Sub-recall because this repackaged product was recalled by the manufacturing firm, Wockhardt, due to out-of-specification results for the Enalapril DiKetopiperazine degradation product.","Enalapril Maleate Tablets, USP, 5 mg, 100 Tablets (10 x 10) Unit Dose per carton, Rx only, Manufactured by: Wockhardt Limited, H-14/2, M.I.D.C. Area, Waluj, Aurangabad, Maharashtra, India; Distributed by: Wockhardt USA LLC., 20 Waterview Blvd., Parsippany, NJ  07054; Distributed by: MAJOR Pharmaceuticals, 17177 N Laurel Park Dr., Suite 233, Livonia, MI  48152; NDC 0904-5502-61.",20180801
D-720-2013,Class II,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes,"Dexpanthenol 250 mg/ml Injection, compounded by Olympia Pharmacy, Orlando, FL",20130717
D-1371-2019,Class II,cGMP Deviations: Potential product contamination with Burkholderia cepacia (B.cepacia) and Ralstonia pickettii (R. pickettii).,"Nasal Decongestant Liquid, Pseudoephedrine HCl, 30 mg in each teaspoonful, 4 Fl. oz. (118 mL) bottle, NDC:0536-1850-97, Distributed by Rugby Laboratories, Livonia MI 48152.",20190619
D-0647-2022,Class II,Subpotent Drug: FDA analysis has revealed some bottles of these products were sub potent for ethanol.,"Premium Nature Instant Hand Sanitizer, (ethyl alcohol 70%), plastic bottle packaged as (a) 8 OZ, UPC 8 19192 02866 8; (b) 16 OZ, UPC 8 19192 02874 3;  Premium Nature, South Plainfield, NJ.",20220302
D-0471-2019,Class II,Lack of sterility assurance.,"Zinc Sulfate, 5mg/mL injection, 10ml vial, Rx Only, Promise Pharmacy Compounding Specialists 31818 US Hwy 19N, Palm Harbor, FL 34684",20190220
D-1160-2016,Class II,Stability Data Does Not Support Expiry,"HEPARIN Sodium in 0.45% Sodium Chloride, 1 USP Unit/2 mL (0.5 USP Units/mL), Rx Only, Cantrell Drug Co., Little Rock, AR --- NDC 52533-148-16, UPC: 0100352533148163",20160713
D-1203-2018,Class I,"Microbial Contamination of Non Sterile Products; Products contaminated with microoganisms, including but not limited to Staphylococcus saprophyticus and Burkholderia cepacia","Respitrol, Homeopathic (OTC Medicine), 2 fl oz (59 mL) per bottle, Mftd for: HelloLife, Inc. 4635 40th St SE, Grand Rapids, MI 49512.  NDC: 49726-003-02",20180919
D-1571-2014,Class III,Failed Impurity/Degradation Specification; high out of specification result for 23 transacetyl impurity at the 22 month stability time point,"Rifampin for Injection USP, 600 mg*/vial (Sterile), supplied in sterile glass vials, Rx only For IV Infusion only, individually boxed, Mfd. for: Akorn, Inc., Lake Forest, IL --- NDC 17478-151-42",20141001
D-0353-2018,Class II,Cross Contamination With Other Products: Oral care solutions were manufactured by a third party supplier on equipment shared with non-pharmaceutical products,"Toothette Suction Toothbrush with Perox-A-Mint solution and Mouth Moisturizer. Includes  0.25 fl.oz./7mL Perox-A-Mint solution, 0.07oz/2g Mouth Moisturizer.  Sage Products, Inc., 3909 Three Oaks Road, Cary, IL 60013. NDC: 53462-922-16",20180221
D-1587-2014,Class II,Lack of Assurance of Sterility: A mold like substance was discovered on the surface of an unopened bag of Sodium Chloride 0.9% while prepping the bag for production.,"NORepinephrine 4 mg in 250 mL Sodium Chloride0.9%, For IV Use Only, Flexible Bag, Rx only, UNIQUE PHARMACEUTICALS, Inc.Temple, TX USA 76502",20140924
D-0816-2016,Class II,Failed Impurities/Degradation Specifications: Out of specification for impurities.,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate, and Amphetamine Sulfate Tablets, 5 mg, 100 ct. bottle, Rx Only.  Manufactured by: Actavis Elizabeth LLC, Elmora Avenue, Elizabeth, NJ 07207. Distributed by: Actavis, Inc., 80 Columbia Road, Bldg B, Morristown, NJ 07960. NDC: 45963-743-11.",20160413
D-0635-2023,Class II,Lack of Assurance of Sterility,"Ketamine Injection, 50 mg per 5 mL (10 mg/mL), Single-Use Syringe, Rx only, Apollo Care, LLC, 3801 Mojave Ct., Suite 101, Columbia, MO 65202. NDC 71170-050-05",20230524
D-386-2013,Class II,"Lack of Assurance of Sterility: all sterile products compounded, repackaged, and distributed by this compounding pharmacy due to lack of sterility assurance and concerns associated with the quality control processes.","Medroxyprogesterone Acetate Injection, all strengths and all presentations including a) Medroxyprogesterone 150-30 mL, b) Medroxyprogesterone Acetate 150 mg/mL in 1 mL, 10 mL, 30 mL vials, c) Medroxyprogesterone Acetate 150 mg/mL PF syringe, d) Medroxyprogesterone Acetate 150 mg/mL syringe, Rx only, Green Valley Drugs, 1850 Whitney Mesa, #180, Henderson, NV  89014.",20130522
D-66403-011,Class II,CGMP Deviations: Pharmaceuticals were produced and distributed with active ingredients not manufactured according to Good Manufacturing Practices.,"Ciprofloxacin Tablets, USP, 500 mg,100-count bottles, Rx only, Mylan Pharmaceuticals Inc., Morgantown, WV 26505 U.S.A, NDC 0378-7098-01",20131113
D-1424-2020,Class II,Lack of Processing Controls (lack of assurance of conformity to specifications).,"Formula 82M (Minoxidil 5%/Tretinoin 0.01%/Fluocinolone acetonide 0.01%), a) 0.5 FL OZ (15 mL), b) 2 FL OZ (60 mL) bottle, MasterPharm, 115-02 Liberty Ave, Richmond Hill, NY 11419, (866) 630-5600",20200805
D-470-2015,Class I,Non-Sterility: Out of specification results for the sterility test for microbial contamination.,"Virginia Hospital Center (VA) TPN Neonatal Day 1 Bag, Trophamine 5.5 gm, Dextrose 10%, Additives: Calcium Gluconate 0.46mEq/mL, 600 mg, compound vol: 250 ml, sterile injectable, Rx only, compounded drug, IV infusion bag packaged in a corrugated box, each container is lined with a polystyrene insert; CAPS, Allentown, PA.",20150415
D-0858-2020,Class II,Presence of Foreign Tablets/Capsules: Complaint involving one Women's Prenatal dietary supplement tablet commingled in a bottle of Extra Strength Acetaminophen 500 mg contents 1000 count bottle.,"Major Extra Strength Acetaminophen Tablets, 500 mg Pain Reliever/Fever Reducer, packaged in a) 100-count bottles (NDC 0904-6730-60; UPC 3 09046 73060 6) and b) 1000-count bottles (NDC 0904-6730-80; UPC 3 09046 73080 4) Distributed by Major Pharmaceuticals 17177 N. Laurel Park Drive, Suite 233 Livonia, MI 45162 USA",20200219
D-1102-2016,Class II,Lack of Processing Controls,"All triamcinolone Products, Rx Only, Compounded by RELIABLE DRUG/RELIABLE COMPOUNDING PHARMACY, 801 Irving St., SAN FRANCISCO, CA 94122.",20160713
D-500-2013,Class II,Labeling: Label Error on Declared Strength- Unopened bottles of Ropinirole USP 3 mg tablets was found to be incorrectly labeled as Ropinirole USP 4 mg tablets..,"Ropinirole hydrochloride tablets, USP 4 mg, 100-count bottle (NDC 0378-5504-01), Rx only, Manufactured for:  Mylan Pharmaceuticals, Inc., Morgantown, WV 26505 U.S.A.  Made in India",20130605
D-232-2013,Class II,Marketed Without an Approved NDA/ANDA: The products are unapproved drugs,"Aniracetam and Choline, Aniracetam 460 mg, Choline 76 mg, 180 capsules per bottler, non-Rx, distributed by BoostYourGrade, BoostYourGrade, LLC  Orlando, FL",20130410
D-702-2013,Class II,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes,"Atropine Sulfate 50 mg/ml Injection, compounded by Olympia Pharmacy, Orlando, FL",20130717
D-824-2013,Class II,Presence of Foreign Substance: Belladonna Alkaloids with Phenobarbital Tablets with black specks comprised of degraded organic material on tablets.,"West-ward Belladonna Alkaloids with Phenobarbital Tablets, a) 1000-count bottle (NDC 0143-1140-10), b) 5000-count bottle (NDC 0143-1140-51), Rx only, Manufactured by West-ward Pharmaceutical Corp., Eatontown, N.J., 07724",20130731
D-0980-2017,Class III,Failed Impurities/Degradation Specifications; out of specification result for denitroquinoline-related impurity during three month time point,"Argatroban Injection, 250 mg/2.5 mL (100 mg/mL), 5 mL Single-use vial, Rx Only, Sterile, Manufactured by: Gland Pharma Limited, Hyderabad, India,  Manufactured for:  Hospira, Inc, Lake Forest, IL 60045 ---  NDC  0409-1140-01",20170726
D-0753-2019,Class I,Microbial contamination,"Dr. King's SafeCare Rx Adrenal Burnout Mind & Body, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955097921, NDC 57955-0981-2",20190320
D-0126-2019,Class II,CGMP Deviations: products manufactured by contract manufacturer under conditions that could result in possible microbial contamination.,"Diet Power, Homeopathic Oral Spray 1.38 fl. oz. (41 mL). Manufactured by Sprayology Gaithersburg, MD 20879. NDC 61096-0004-1",20181107
D-0313-2021,Class II,Presence of particulate matter.one confirmed  customer report of particulate matter within two semi-rigid bottles identified prior to use,"0.9% SODIUM CHLORIDE Irrigation, USP 1000 mL Semi-Rigid Bottle, Rx only, Manufactured for ICU Medical, Inc., Lake Forest, Illinois, 60045 USA. NDC 0990-7138-09",20210331
D-1711-2019,Class II,Lack of Assurance of Sterility,"TRAVASOL 10% (AMINO ACID) INJECTION SOLUTION, 50 ML per Vial, RXQ Compounding, 340 West State Street, Unit 9, Athens, OH 45701. NDC 70731-0151-50",20190814
D-1789-2015,Class II,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,"Tri-Mix AT-6  (60 mg/4 mg/0.3 mg) Injectable, The Compounding Pharmacy of America, Knoxville, TN",20150923
D-1452-2012,Class II,Lack of Assurance of Sterility: Franck's Lab Inc. initiated a recall of all Sterile Human Drugs distributed between 11/21/2011 and 05/21/2012 because FDA environmental sampling revealed the presence of microorganisms and fungal growth in the clean room where sterile products were prepared.,"ALPROSTADIL  10MCG/ML INJECTABLE 10 ML, 20 ML, 3 ML, 30 ML, 5 ML, 6 ML; ALPROSTADIL  15MCG/ML INJECTABLE 5 ML; ALPROSTADIL  20MCG/ML INJECTABLE 10 ML, 10 MLS, 20 ML, 3 ML, 30 ML, 4 ML, 40 ML, 5 ML, 6 ML; ALPROSTADIL  24MCG/ML INJECTABLE 6 ML; ALPROSTADIL  25MCG/ML INJECTABLE 10 ML; ALPROSTADIL  30MCG/ML INJECTABLE 10 ML; ALPROSTADIL  35MCG/ML INJECTABLE 10 ML; ALPROSTADIL  40MCG/ML INJECTABLE 10 ML, 10 ML, 10 VIAL, 15 ML, 2 ML, 20 ML, 3 ML, 30 ML, 40 ML, 5 ML, 50 ML, 6 ML; ALPROSTADIL  50MCG/ML INJECTABLE	10 ML, 2 ML, 20 ML, 5 ML; ALPROSTADIL  60MCG/ML INJECTABLE	20 ML; ALPROSTADIL (M) 500MCG/ML INJECTABLE 10 ML; ALPROSTADIL 100MCG/ML INJECTABLE 5 ML; ALPROSTADIL, STERILE 1,000MCG/ML GEL 10 ML, 12 ML, 20 ML, 3 ML, 30 ML, 6 ML; ALPROSTADIL/PAPAVERINE  10MCG/9MG/ML INJECTABLE; ALPROSTADIL/PHENT 10MCG/0.5MG/ML INJECTABLE 10 ML, 5 ML; ALPROSTADIL/PHENT 17MCG/0.5MG/ML INJECTABLE 10 ML; ALPROSTADIL/PHENTOLAMINE 40MCG/2MG/ML INJECTABLE 10 ML (50 DIFFERENT PRODUCTS)",20120822
D-1819-2019,Class II,Lack of Assurance of Sterility,"FERRIC CARBOXYMALTOSE 750mg/50ml NS IVPB, Rx Only, Infusion Options, Inc. 5924 13the Ave, Brooklyn, NY 11219-4934, 718-283-7233",20190821
D-0299-2015,Class II,Failed Tablet/Capsule Specifications: Recall due to wet and/or leaking capsules.,"Benzonatate Capsules, USP, 200 mg, 100-count bottles, Rx only, Manufactured by: Cadila Healthcare Ltd, Ahmedabad, India; Distributed by: Zydus Pharmaceuticals USA, In, Pennington, NJ USA 08534;  NDC 68382-248-01, UPC 3 68382 24801 5.",20141224
D-1336-2019,Class II,Lack of Sterility Assurance.,"Testosterone 200 mg/mL, 30 mL vials, Rx only, Pharm D. Solutions 1304 South Loop West, Houston, TX 77054, 1-844-263-6846, NDC 69699-1702-30",20190619
D-655-2013,Class II,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes,"Methylcobalamin 12.5 mg/ml, Clinical Specialties Compounding Pharmacy, 318 Baston Road, Augusta, GA 30907",20130710
D-1531-2014,Class II,Marketed without an Approved NDA/ANDA; IM and SQ injectable products are being recalled because the manufacturing firm is not registered with the FDA as a drug manufacturer,"G.A.C. 375 Injection USP, packaged in 30 ml vials, Sterile, For IM or Deep SQ Use, Multiple Dose Vial, Manufactured by: CB Inc. for Sunshine Labs, www.sunshinelabs.us.",20140813
D-1215-2015,Class II,Failed Content Uniformity Specifications: The product may not meet the limit for blend uniformity specification.,"Enalapril maleate and hydrochlorothiazide tablets USP, 10/25 mg, 100-count bottle, Rx only, Manufactured for Apotex Inc 150 Signet Drive, ON M9L1T9 by Apotex Research Private Limited, Plot 1 & 2, Bommasandra Industrial Area, 4th Phase Jigani Link Road, Bangalore, Karnataka, 560099, India, NDC 60505-0209-1",20150715
D-1274-2019,Class II,"Lack of Sterility Assurance: Microbial growth detected during a routine simulation of the manufacturing process, which represents the potential introduction of microorganisms into the products.","Ketorolac Tromethamine Injection, USP, 60 mg per 2 mL (30 mg per mL), 2 mL  Vials, Rx only, Mfd. for Sagent Pharmaceuticals, Schaumburg, IL 60195, NDC:  25021-701-02",20190515
